State,District,Season,Year,Crop,Area_Ha,Yield_QHa
Chandigarh,Chandigarh,Whole Year,2015 - 2016,Potato,10.0,155.0
Chandigarh,Chandigarh,Kharif,2015 - 2016,Rice,20.0,51.5
Chandigarh,Chandigarh,Kharif,2016 - 2017,Rice,8.0,52.5
Chandigarh,Chandigarh,Kharif,2017 - 2018,Rice,10.0,55.0
Chandigarh,Chandigarh,Kharif,2018 - 2019,Rice,10.0,53.0
Chandigarh,Chandigarh,Kharif,2019 - 2020,Rice,80.0,55.0
Chandigarh,Chandigarh,Kharif,2020 - 2021,Rice,82.0,55.0
Chandigarh,Chandigarh,Kharif,2021 - 2022,Rice,82.0,55.0
Chandigarh,Chandigarh,Kharif,2022 - 2023,Rice,84.0,55.0
Gujarat,Ahmadabad,Kharif,2015 - 2016,Arhar/Tur,1249.0,12.3
Gujarat,Ahmadabad,Kharif,2015 - 2016,Bajra,755.0,11.7
Gujarat,Ahmadabad,Kharif,2015 - 2016,Castor seed,57920.0,15.0
Gujarat,Ahmadabad,Kharif,2015 - 2016,Cotton(lint),131881.0,22.9
Gujarat,Ahmadabad,Rabi,2015 - 2016,Gram,8087.0,6.8999999999999995
Gujarat,Ahmadabad,Kharif,2015 - 2016,Groundnut,131.0,14.399999999999999
Gujarat,Ahmadabad,Whole Year,2015 - 2016,Guar seed,5415.0,6.2
Gujarat,Ahmadabad,Kharif,2015 - 2016,Moong(Green Gram),1589.0,5.1
Gujarat,Ahmadabad,Kharif,2015 - 2016,Moth,1660.0,9.399999999999999
Gujarat,Ahmadabad,Kharif,2015 - 2016,Other Kharif pulses,765.0,4.3
Gujarat,Ahmadabad,Rabi,2015 - 2016,Rapeseed &Mustard,743.0,14.5
Gujarat,Ahmadabad,Kharif,2015 - 2016,Rice,113930.0,25.2
Gujarat,Ahmadabad,Kharif,2015 - 2016,Sesamum,1282.0,3.4000000000000004
Gujarat,Ahmadabad,Kharif,2015 - 2016,Tobacco,5.0,20.0
Gujarat,Ahmadabad,Rabi,2015 - 2016,Tobacco,80.0,17.4
Gujarat,Ahmadabad,Kharif,2015 - 2016,Urad,120.0,6.0
Gujarat,Ahmadabad,Rabi,2015 - 2016,Wheat,114178.0,24.0
Gujarat,Ahmadabad,Rabi,2015 - 2016,Onion,170.0,269.3
Gujarat,Ahmadabad,Kharif,2015 - 2016,Soyabean,10.0,8.0
Gujarat,Ahmadabad,Kharif,2016 - 2017,Arhar/Tur,2346.0,11.299999999999999
Gujarat,Ahmadabad,Kharif,2016 - 2017,Bajra,971.0,20.4
