State,District,Season,Year,Crop,Area_Ha,Production_Ton,Yield_TonHa,Start_Year,District_norm,State_norm,latitude,longitude,soil_ph,soil_oc,clay_pct,sand_pct,cec_cmol,avg_temp,humidity_avg,rain_total,solar_avg
Gujarat,Ahmadabad,Kharif,2015 - 2016,Arhar/Tur,1249.0,1535.0,1.23,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Kharif,2015 - 2016,Bajra,755.0,882.0,1.17,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Kharif,2015 - 2016,Castor seed,57920.0,86926.0,1.5,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Kharif,2015 - 2016,Cotton(lint),131881.0,302016.0,2.29,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Rabi,2015 - 2016,Gram,8087.0,5607.0,0.69,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,25.365136612021857,29.049125683060108,1.11,18.429180327868853
Gujarat,Ahmadabad,Kharif,2015 - 2016,Groundnut,131.0,188.0,1.44,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Whole Year,2015 - 2016,Guar seed,5415.0,3348.0,0.62,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,27.999698630136983,45.92797260273972,657.92,19.54895890410959
Gujarat,Ahmadabad,Kharif,2015 - 2016,Moong(Green Gram),1589.0,803.0,0.51,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Kharif,2015 - 2016,Moth,1660.0,1559.0,0.94,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Kharif,2015 - 2016,Other Kharif pulses,765.0,328.0,0.43,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Rabi,2015 - 2016,Rapeseed &Mustard,743.0,1080.0,1.45,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,25.365136612021857,29.049125683060108,1.11,18.429180327868853
Gujarat,Ahmadabad,Kharif,2015 - 2016,Rice,113930.0,287425.0,2.52,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Kharif,2015 - 2016,Sesamum,1282.0,435.0,0.34,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Kharif,2015 - 2016,Tobacco,5.0,10.0,2.0,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Rabi,2015 - 2016,Tobacco,80.0,139.0,1.74,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,25.365136612021857,29.049125683060108,1.11,18.429180327868853
Gujarat,Ahmadabad,Kharif,2015 - 2016,Urad,120.0,72.0,0.6,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Rabi,2015 - 2016,Wheat,114178.0,274549.0,2.4,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,25.365136612021857,29.049125683060108,1.11,18.429180327868853
Gujarat,Ahmadabad,Rabi,2015 - 2016,Onion,170.0,4578.0,26.93,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,25.365136612021857,29.049125683060108,1.11,18.429180327868853
Gujarat,Ahmadabad,Kharif,2015 - 2016,Soyabean,10.0,8.0,0.8,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Kharif,2016 - 2017,Arhar/Tur,2346.0,2655.0,1.13,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.350983606557374,67.97868852459015,501.41999999999996,17.628606557377054
Gujarat,Ahmadabad,Kharif,2016 - 2017,Bajra,971.0,1983.0,2.04,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.350983606557374,67.97868852459015,501.41999999999996,17.628606557377054
Gujarat,Ahmadabad,Kharif,2016 - 2017,Castor seed,44369.0,71483.0,1.61,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.350983606557374,67.97868852459015,501.41999999999996,17.628606557377054
