State,District,Season,Year,Crop,Area_Ha,Yield_QHa,Start_Year,District_norm,State_norm,latitude,longitude,soil_ph,soil_oc,clay_pct,sand_pct,cec_cmol,avg_temp,humidity_avg,rain_total,solar_avg
Chandigarh,Chandigarh,Whole Year,2015 - 2016,Potato,10.0,155.0,2015,chandigarh,chandigarh,30.73388576500011,76.76733253808752,,,,,,23.89934246575342,50.66983561643835,1130.12,18.550904109589037
Chandigarh,Chandigarh,Kharif,2015 - 2016,Rice,20.0,51.5,2015,chandigarh,chandigarh,30.73388576500011,76.76733253808752,,,,,,29.421639344262292,62.88696721311475,840.64,21.009426229508193
Chandigarh,Chandigarh,Kharif,2016 - 2017,Rice,8.0,52.5,2016,chandigarh,chandigarh,30.73388576500011,76.76733253808752,,,,,,30.185327868852458,63.45172131147541,712.46,20.838360655737702
Chandigarh,Chandigarh,Kharif,2017 - 2018,Rice,10.0,55.0,2017,chandigarh,chandigarh,30.73388576500011,76.76733253808752,,,,,,29.200327868852458,67.66360655737705,991.37,20.418278688524587
Chandigarh,Chandigarh,Kharif,2018 - 2019,Rice,10.0,53.0,2018,chandigarh,chandigarh,30.73388576500011,76.76733253808752,,,,,,28.78844262295082,72.85770491803278,1270.3500000000001,18.903032786885248
Chandigarh,Chandigarh,Kharif,2019 - 2020,Rice,80.0,55.0,2019,chandigarh,chandigarh,30.73388576500011,76.76733253808752,,,,,,30.27073770491803,63.884098360655734,849.8299999999999,20.218688524590164
Chandigarh,Chandigarh,Kharif,2020 - 2021,Rice,82.0,55.0,2020,chandigarh,chandigarh,30.73388576500011,76.76733253808752,,,,,,29.43155737704918,68.58319672131147,802.1,21.19655737704918
Chandigarh,Chandigarh,Kharif,2021 - 2022,Rice,82.0,55.0,2021,chandigarh,chandigarh,30.73388576500011,76.76733253808752,,,,,,29.265901639344264,68.71827868852459,992.6,19.91065573770492
Chandigarh,Chandigarh,Kharif,2022 - 2023,Rice,84.0,55.0,2022,chandigarh,chandigarh,30.73388576500011,76.76733253808752,,,,,,29.236475409836064,70.54655737704917,1139.1799999999998,20.183360655737705
Gujarat,Ahmadabad,Kharif,2015 - 2016,Arhar/Tur,1249.0,12.3,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Kharif,2015 - 2016,Bajra,755.0,11.7,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Kharif,2015 - 2016,Castor seed,57920.0,15.0,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Kharif,2015 - 2016,Cotton(lint),131881.0,22.9,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.040409836065567,69.65803278688526,604.3,18.392459016393442
Gujarat,Ahmadabad,Rabi,2015 - 2016,Gram,8087.0,6.9,2015,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,25.365136612021857,29.049125683060108,1.11,18.429180327868853
